,job_id,incrad,minsep,crowder_potential,phi_slot,phi_membrane,Deff_membrane
0,0001,0.5,0.7,-0.25,0.8070928447018104,0.6053196335263579,0.5726497726169225
1,0002,0.5,0.7,-0.25,0.8070928447016286,0.6053196335262214,0.5725378114417837
2,0003,0.5,0.7,-0.25,0.8070928447016086,0.6053196335262064,0.5715089479241066
3,0004,0.5,0.7,-0.25,0.807092844701643,0.6053196335262323,0.5715099726334475
4,0005,0.5,0.7,-0.25,0.8070928447016903,0.6053196335262677,0.5721889487112327
5,0001,0.5,0.7,-0.06,0.8070928447016247,0.6053196335262184,0.5312485561427225
6,0002,0.5,0.7,-0.06,0.8070928447016701,0.6053196335262526,0.5339873281919211
7,0003,0.5,0.7,-0.06,0.8070928447016114,0.6053196335262084,0.5321988230357796
8,0004,0.5,0.7,-0.06,0.8070928447015357,0.6053196335261518,0.5339739432111831
9,0005,0.5,0.7,-0.06,0.80709284470166,0.605319633526245,0.5322093158674625
10,0001,0.5,1.77,-0.19,0.9431580650981619,0.7073685488236214,0.7051428017216818
11,0002,0.5,1.77,-0.19,0.943158065098165,0.7073685488236238,0.7048900291667655
12,0003,0.5,1.77,-0.19,0.9431580650981671,0.7073685488236253,0.7060901071136615
13,0004,0.5,1.77,-0.19,0.9431580650981796,0.7073685488236348,0.7053278216143656
14,0005,0.5,1.77,-0.19,0.9431580650981723,0.7073685488236292,0.7043636405326383
15,0001,0.5,1.24,-0.12,0.8940234021772199,0.6705175516329149,0.6380844706758676
16,0002,0.5,1.24,-0.12,0.894023402177221,0.6705175516329157,0.6382759473629389
17,0001,0.5,1.24,-0.06,0.8940234021772111,0.6705175516329084,0.6227603909788083
18,0002,0.5,1.24,-0.06,0.8940234021772185,0.6705175516329139,0.6242901329437495
19,0001,0.5,0.7,0.25,0.8070928447016492,0.6053196335262369,0.47715525851830726
20,0002,0.5,0.7,0.25,0.8070928447017061,0.6053196335262795,0.4759697994009059
21,0003,0.5,0.7,0.25,0.8070928447016089,0.6053196335262067,0.47717612128123305
22,0004,0.5,0.7,0.25,0.8070928447015606,0.6053196335261705,0.4767127868945909
23,0005,0.5,0.7,0.25,0.8070928447015692,0.6053196335261769,0.4762147262799933
24,0001,0.5,0.7,0.12,0.8070928447015979,0.6053196335261984,0.4989924996502047
25,0002,0.5,0.7,0.12,0.8070928447015376,0.6053196335261533,0.49914479730725797
26,0003,0.5,0.7,0.12,0.8070928447016398,0.6053196335262299,0.4997994183873536
27,0004,0.5,0.7,0.12,0.8070928447016348,0.6053196335262261,0.49911389407647405
28,0001,0.5,1.24,0.12,0.8940234021772152,0.6705175516329114,0.5836128579084785
29,0002,0.5,1.24,0.12,0.8940234021772152,0.6705175516329114,0.5816924077334964
30,0003,0.5,1.24,0.12,0.8940234021772141,0.6705175516329106,0.5844334063219501
31,0004,0.5,1.24,0.12,0.89402340217722,0.670517551632915,0.5837253302830976
32,0005,0.5,1.24,0.12,0.8940234021772161,0.670517551632912,0.5817851352599893
33,0001,0.5,0.7,0.0,0.807092844701593,0.6053196335261948,0.520685977932109
34,0002,0.5,0.7,0.0,0.8070928447015483,0.6053196335261612,0.5200109548146643
35,0003,0.5,0.7,0.0,0.8070928447018806,0.6053196335264105,0.5210561631337493
36,0004,0.5,0.7,0.0,0.8070928447015457,0.6053196335261594,0.5215713243220306
37,0005,0.5,0.7,0.0,0.8070928447014837,0.6053196335261128,0.5200662992967351
38,0001,0.5,1.24,0.0,0.8940234021772172,0.6705175516329129,0.6100559574822941
39,0002,0.5,1.24,0.0,0.8940234021772183,0.6705175516329137,0.6095693204059539
40,0003,0.5,1.24,0.0,0.8940234021772163,0.6705175516329123,0.6098032232445655
41,0004,0.5,1.24,0.0,0.894023402177215,0.6705175516329112,0.6099570920900298
42,0001,0.5,1.24,-0.25,0.8940234021772168,0.6705175516329126,0.6699456851918868
43,0002,0.5,1.24,-0.25,0.8940234021772169,0.6705175516329127,0.6686249915026584
44,0003,0.5,1.24,-0.25,0.8940234021772168,0.6705175516329126,0.6684515295551885
45,0004,0.5,1.24,-0.25,0.894023402177218,0.6705175516329135,0.668903159105476
46,0005,0.5,1.24,-0.25,0.8940234021772182,0.6705175516329136,0.6718312270374246
47,0001,0.5,0.7,0.06,0.8070928447015646,0.6053196335261735,0.5091875282695765
48,0002,0.5,0.7,0.06,0.8070928447015145,0.6053196335261359,0.5109284389041839
49,0003,0.5,0.7,0.06,0.8070928447017507,0.605319633526313,0.5106586107838653
50,0004,0.5,0.7,0.06,0.8070928447016537,0.6053196335262403,0.5089810441228102
51,0005,0.5,0.7,0.06,0.8070928447015984,0.6053196335261988,0.5094969061467712
52,0001,0.5,0.7,0.19,0.8070928447017333,0.6053196335262999,0.4862294062929259
53,0002,0.5,0.7,0.19,0.8070928447016561,0.6053196335262421,0.48571147178435997
54,0003,0.5,0.7,0.19,0.807092844701653,0.6053196335262397,0.4867826753518955
55,0004,0.5,0.7,0.19,0.8070928447015441,0.605319633526158,0.4861317746371182
56,0005,0.5,0.7,0.19,0.8070928447015574,0.605319633526168,0.4867466958552308
57,0001,0.5,1.24,-0.19,0.8940234021772174,0.670517551632913,0.654084259402994
58,0002,0.5,1.24,-0.19,0.8940234021772191,0.6705175516329144,0.6536653550013752
59,0003,0.5,1.24,-0.19,0.8940234021772167,0.6705175516329125,0.6558109259567111
60,0001,0.5,1.24,0.25,0.8940234021772167,0.6705175516329125,0.5567415438926587
61,0002,0.5,1.24,0.25,0.8940234021772193,0.6705175516329145,0.5574491485622084
